ID	xref	prefLabel
ID	A OboInOwl:hasDbXref	A skos:prefLabel
http://purl.obolibrary.org/obo/CL_0000000		cell
http://purl.obolibrary.org/obo/CL_0000008		migratory cranial neural crest cell
http://purl.obolibrary.org/obo/CL_0000031		neuroblast (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000057		fibroblast
http://purl.obolibrary.org/obo/CL_0000065		ependymal cell
http://purl.obolibrary.org/obo/CL_0000066		epithelial cell
http://purl.obolibrary.org/obo/CL_0000067		ciliated epithelial cell
http://purl.obolibrary.org/obo/CL_0000071		blood vessel endothelial cell
http://purl.obolibrary.org/obo/CL_0000075		columnar/cuboidal epithelial cell
http://purl.obolibrary.org/obo/CL_0000076		squamous epithelial cell
http://purl.obolibrary.org/obo/CL_0000098		sensory epithelial cell
http://purl.obolibrary.org/obo/CL_0000099		interneuron
http://purl.obolibrary.org/obo/CL_0000100		motor neuron
http://purl.obolibrary.org/obo/CL_0000101		sensory neuron
http://purl.obolibrary.org/obo/CL_0000108		cholinergic neuron
http://purl.obolibrary.org/obo/CL_0000115		endothelial cell
http://purl.obolibrary.org/obo/CL_0000118		basket cell
http://purl.obolibrary.org/obo/CL_0000119		cerebellar Golgi cell
http://purl.obolibrary.org/obo/CL_0000120		granule cell
http://purl.obolibrary.org/obo/CL_0000121		Purkinje cell
http://purl.obolibrary.org/obo/CL_0000122		stellate neuron
http://purl.obolibrary.org/obo/CL_0000125		glial cell
http://purl.obolibrary.org/obo/CL_0000133		neurectodermal cell
http://purl.obolibrary.org/obo/CL_0000136		fat cell
http://purl.obolibrary.org/obo/CL_0000138		chondrocyte
http://purl.obolibrary.org/obo/CL_0000149		visual pigment cell
http://purl.obolibrary.org/obo/CL_0000150		glandular epithelial cell
http://purl.obolibrary.org/obo/CL_0000151		secretory cell
http://purl.obolibrary.org/obo/CL_0000165		neuroendocrine cell
http://purl.obolibrary.org/obo/CL_0000166		chromaffin cell
http://purl.obolibrary.org/obo/CL_0000187		muscle cell
http://purl.obolibrary.org/obo/CL_0000188		cell of skeletal muscle
http://purl.obolibrary.org/obo/CL_0000192		smooth muscle cell
http://purl.obolibrary.org/obo/CL_0000197		sensory receptor cell
http://purl.obolibrary.org/obo/CL_0000206		chemoreceptor cell
http://purl.obolibrary.org/obo/CL_0000207		olfactory receptor cell
http://purl.obolibrary.org/obo/CL_0000209		taste receptor cell
http://purl.obolibrary.org/obo/CL_0000210		photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000221		ectodermal cell
http://purl.obolibrary.org/obo/CL_0000222		mesodermal cell
http://purl.obolibrary.org/obo/CL_0000223		endodermal cell
http://purl.obolibrary.org/obo/CL_0000228		multinucleate cell
http://purl.obolibrary.org/obo/CL_0000232		erythrocyte
http://purl.obolibrary.org/obo/CL_0000287		eye photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000295		somatotropin secreting cell
http://purl.obolibrary.org/obo/CL_0000327		extracellular matrix secreting cell
http://purl.obolibrary.org/obo/CL_0000333		migratory neural crest cell
http://purl.obolibrary.org/obo/CL_0000335		mesenchyme condensation cell
http://purl.obolibrary.org/obo/CL_0000347		scleral cell
http://purl.obolibrary.org/obo/CL_0000352		epiblast cell
http://purl.obolibrary.org/obo/CL_0000365		animal zygote
http://purl.obolibrary.org/obo/CL_0000438		luteinizing hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000439		prolactin secreting cell
http://purl.obolibrary.org/obo/CL_0000440		melanocyte stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000457		biogenic amine secreting cell
http://purl.obolibrary.org/obo/CL_0000459		noradrenergic cell
http://purl.obolibrary.org/obo/CL_0000467		adrenocorticotropic hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000526		afferent neuron
http://purl.obolibrary.org/obo/CL_0000527		efferent neuron
http://purl.obolibrary.org/obo/CL_0000540		neuron
http://purl.obolibrary.org/obo/CL_0000555		neuronal brush cell
http://purl.obolibrary.org/obo/CL_0000566		angioblastic mesenchymal cell
http://purl.obolibrary.org/obo/CL_0000573		retinal cone cell
http://purl.obolibrary.org/obo/CL_0000598		pyramidal neuron
http://purl.obolibrary.org/obo/CL_0000604		retinal rod cell
http://purl.obolibrary.org/obo/CL_0000626		olfactory granule cell
http://purl.obolibrary.org/obo/CL_0000642		folliculostellate cell
http://purl.obolibrary.org/obo/CL_0000652		pinealocyte
http://purl.obolibrary.org/obo/CL_0000680		muscle precursor cell
http://purl.obolibrary.org/obo/CL_0000700		dopaminergic neuron
http://purl.obolibrary.org/obo/CL_0000737		striated muscle cell
http://purl.obolibrary.org/obo/CL_0000740		retinal ganglion cell
http://purl.obolibrary.org/obo/CL_0000853		olfactory epithelial supporting cell
http://purl.obolibrary.org/obo/CL_0000988		hematopoietic cell
http://purl.obolibrary.org/obo/CL_0001031		cerebellar granule cell
http://purl.obolibrary.org/obo/CL_0002077		ecto-epithelial cell
http://purl.obolibrary.org/obo/CL_0002169		basal cell of olfactory epithelium
http://purl.obolibrary.org/obo/CL_0002220		interstitial cell of pineal gland
http://purl.obolibrary.org/obo/CL_0002312		somatotroph
http://purl.obolibrary.org/obo/CL_0002319		neural cell
http://purl.obolibrary.org/obo/CL_0002320		connective tissue cell
http://purl.obolibrary.org/obo/CL_0002494		cardiocyte
http://purl.obolibrary.org/obo/CL_0002672		retinal progenitor cell
http://purl.obolibrary.org/obo/CL_0005000		spinal cord interneuron
http://purl.obolibrary.org/obo/CL_0007001		skeletogenic cell
http://purl.obolibrary.org/obo/CL_0008002		skeletal muscle fiber
http://purl.obolibrary.org/obo/CL_0008007		visceral muscle cell
http://purl.obolibrary.org/obo/CL_0008019		mesenchymal cell
http://purl.obolibrary.org/obo/UBERON_0000000		processual entity
http://purl.obolibrary.org/obo/UBERON_0000004		nose
http://purl.obolibrary.org/obo/UBERON_0000005		chemosensory organ
http://purl.obolibrary.org/obo/UBERON_0000007		pituitary gland
http://purl.obolibrary.org/obo/UBERON_0000010		peripheral nervous system
http://purl.obolibrary.org/obo/UBERON_0000012		somatic nervous system
http://purl.obolibrary.org/obo/UBERON_0000014		zone of skin
http://purl.obolibrary.org/obo/UBERON_0000019		camera-type eye
http://purl.obolibrary.org/obo/UBERON_0000020		sense organ
http://purl.obolibrary.org/obo/UBERON_0000025		tube
http://purl.obolibrary.org/obo/UBERON_0000033		head
http://purl.obolibrary.org/obo/UBERON_0000043		tendon
http://purl.obolibrary.org/obo/UBERON_0000045		ganglion
http://purl.obolibrary.org/obo/UBERON_0000047		simple eye
http://purl.obolibrary.org/obo/UBERON_0000052		fornix of brain
http://purl.obolibrary.org/obo/UBERON_0000055		vessel
http://purl.obolibrary.org/obo/UBERON_0000060		anatomical wall
http://purl.obolibrary.org/obo/UBERON_0000061		anatomical structure
http://purl.obolibrary.org/obo/UBERON_0000062		organ
http://purl.obolibrary.org/obo/UBERON_0000063		organ subunit
http://purl.obolibrary.org/obo/UBERON_0000064		organ part
